architecture,condition,fault_type,task_id,seed,official_success,evaluator_status,steps,llm_calls,time_sec,agent_response,network_har,official_eval
plan_execute,control,control,27,1,False,failure,2.0,4.0,263.8,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_control_control_task27_seed1/27/control_seed_0/agent_response.json,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_control_control_task27_seed1/27/control_seed_0/network.har,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_control_control_task27_seed1/27/control_seed_0/official_eval.json
plan_execute,control,control,27,2,False,failure,2.0,5.0,324.3,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_control_control_task27_seed2/27/control_seed_0/agent_response.json,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_control_control_task27_seed2/27/control_seed_0/network.har,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_control_control_task27_seed2/27/control_seed_0/official_eval.json
plan_execute,control,control,27,3,False,failure,2.0,5.0,356.3,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_control_control_task27_seed3/27/control_seed_0/agent_response.json,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_control_control_task27_seed3/27/control_seed_0/network.har,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_control_control_task27_seed3/27/control_seed_0/official_eval.json
plan_execute,control,control,30,1,False,failure,2.0,4.0,178.3,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_control_control_task30_seed1/30/control_seed_0/agent_response.json,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_control_control_task30_seed1/30/control_seed_0/network.har,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_control_control_task30_seed1/30/control_seed_0/official_eval.json
plan_execute,control,control,30,2,False,failure,2.0,5.0,183.3,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_control_control_task30_seed2/30/control_seed_0/agent_response.json,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_control_control_task30_seed2/30/control_seed_0/network.har,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_control_control_task30_seed2/30/control_seed_0/official_eval.json
plan_execute,control,control,30,3,False,failure,5.0,11.0,462.2,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_control_control_task30_seed3/30/control_seed_0/agent_response.json,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_control_control_task30_seed3/30/control_seed_0/network.har,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_control_control_task30_seed3/30/control_seed_0/official_eval.json
plan_execute,control,control,132,1,False,failure,2.0,4.0,205.0,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_control_control_task132_seed1/132/control_seed_0/agent_response.json,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_control_control_task132_seed1/132/control_seed_0/network.har,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_control_control_task132_seed1/132/control_seed_0/official_eval.json
plan_execute,control,control,132,2,False,failure,2.0,4.0,134.8,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_control_control_task132_seed2/132/control_seed_0/agent_response.json,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_control_control_task132_seed2/132/control_seed_0/network.har,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_control_control_task132_seed2/132/control_seed_0/official_eval.json
plan_execute,control,control,132,3,False,failure,9.0,20.0,1175.4,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_control_control_task132_seed3/132/control_seed_0/agent_response.json,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_control_control_task132_seed3/132/control_seed_0/network.har,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_control_control_task132_seed3/132/control_seed_0/official_eval.json
plan_execute,fault,web_dom_missing,27,1,False,failure,2.0,2.0,255.2,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_fault_web_dom_missing_task27_seed1/27/web_dom_missing_seed_1/agent_response.json,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_fault_web_dom_missing_task27_seed1/27/web_dom_missing_seed_1/network.har,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_fault_web_dom_missing_task27_seed1/27/web_dom_missing_seed_1/official_eval.json
plan_execute,fault,web_dom_missing,27,2,True,success,5.0,5.0,618.8,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_fault_web_dom_missing_task27_seed2/27/web_dom_missing_seed_2/agent_response.json,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_fault_web_dom_missing_task27_seed2/27/web_dom_missing_seed_2/network.har,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_fault_web_dom_missing_task27_seed2/27/web_dom_missing_seed_2/official_eval.json
plan_execute,fault,web_dom_missing,27,3,False,failure,2.0,2.0,259.1,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_fault_web_dom_missing_task27_seed3/27/web_dom_missing_seed_3/agent_response.json,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_fault_web_dom_missing_task27_seed3/27/web_dom_missing_seed_3/network.har,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_fault_web_dom_missing_task27_seed3/27/web_dom_missing_seed_3/official_eval.json
plan_execute,fault,web_dom_missing,30,1,False,failure,2.0,2.0,220.4,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_fault_web_dom_missing_task30_seed1/30/web_dom_missing_seed_1/agent_response.json,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_fault_web_dom_missing_task30_seed1/30/web_dom_missing_seed_1/network.har,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_fault_web_dom_missing_task30_seed1/30/web_dom_missing_seed_1/official_eval.json
plan_execute,fault,web_dom_missing,30,2,False,failure,2.0,2.0,119.1,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_fault_web_dom_missing_task30_seed2/30/web_dom_missing_seed_2/agent_response.json,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_fault_web_dom_missing_task30_seed2/30/web_dom_missing_seed_2/network.har,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_fault_web_dom_missing_task30_seed2/30/web_dom_missing_seed_2/official_eval.json
plan_execute,fault,web_dom_missing,30,3,False,failure,5.0,5.0,476.3,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_fault_web_dom_missing_task30_seed3/30/web_dom_missing_seed_3/agent_response.json,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_fault_web_dom_missing_task30_seed3/30/web_dom_missing_seed_3/network.har,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_fault_web_dom_missing_task30_seed3/30/web_dom_missing_seed_3/official_eval.json
plan_execute,fault,web_dom_missing,132,1,False,failure,2.0,2.0,150.9,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_fault_web_dom_missing_task132_seed1/132/web_dom_missing_seed_1/agent_response.json,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_fault_web_dom_missing_task132_seed1/132/web_dom_missing_seed_1/network.har,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_fault_web_dom_missing_task132_seed1/132/web_dom_missing_seed_1/official_eval.json
plan_execute,fault,web_dom_missing,132,2,False,failure,8.0,8.0,1156.3,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_fault_web_dom_missing_task132_seed2/132/web_dom_missing_seed_2/agent_response.json,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_fault_web_dom_missing_task132_seed2/132/web_dom_missing_seed_2/network.har,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_fault_web_dom_missing_task132_seed2/132/web_dom_missing_seed_2/official_eval.json
plan_execute,fault,web_dom_missing,132,3,False,failure,10.0,10.0,1391.6,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_fault_web_dom_missing_task132_seed3/132/web_dom_missing_seed_3/agent_response.json,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_fault_web_dom_missing_task132_seed3/132/web_dom_missing_seed_3/network.har,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_fault_web_dom_missing_task132_seed3/132/web_dom_missing_seed_3/official_eval.json
plan_execute,fault,web_http_error,27,1,True,success,7.0,7.0,983.6,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_fault_web_http_error_task27_seed1/27/web_http_error_seed_1/agent_response.json,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_fault_web_http_error_task27_seed1/27/web_http_error_seed_1/network.har,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_fault_web_http_error_task27_seed1/27/web_http_error_seed_1/official_eval.json
plan_execute,fault,web_http_error,27,2,False,failure,2.0,2.0,375.7,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_fault_web_http_error_task27_seed2/27/web_http_error_seed_2/agent_response.json,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_fault_web_http_error_task27_seed2/27/web_http_error_seed_2/network.har,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_fault_web_http_error_task27_seed2/27/web_http_error_seed_2/official_eval.json
plan_execute,fault,web_http_error,27,3,False,failure,2.0,2.0,193.6,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_fault_web_http_error_task27_seed3/27/web_http_error_seed_3/agent_response.json,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_fault_web_http_error_task27_seed3/27/web_http_error_seed_3/network.har,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_fault_web_http_error_task27_seed3/27/web_http_error_seed_3/official_eval.json
plan_execute,fault,web_http_error,30,1,False,failure,2.0,2.0,197.9,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_fault_web_http_error_task30_seed1/30/web_http_error_seed_1/agent_response.json,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_fault_web_http_error_task30_seed1/30/web_http_error_seed_1/network.har,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_fault_web_http_error_task30_seed1/30/web_http_error_seed_1/official_eval.json
plan_execute,fault,web_http_error,30,2,False,failure,2.0,2.0,152.1,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_fault_web_http_error_task30_seed2/30/web_http_error_seed_2/agent_response.json,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_fault_web_http_error_task30_seed2/30/web_http_error_seed_2/network.har,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_fault_web_http_error_task30_seed2/30/web_http_error_seed_2/official_eval.json
plan_execute,fault,web_http_error,30,3,False,failure,2.0,2.0,225.3,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_fault_web_http_error_task30_seed3/30/web_http_error_seed_3/agent_response.json,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_fault_web_http_error_task30_seed3/30/web_http_error_seed_3/network.har,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_fault_web_http_error_task30_seed3/30/web_http_error_seed_3/official_eval.json
plan_execute,fault,web_http_error,132,1,False,failure,16.0,16.0,2755.9,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_fault_web_http_error_task132_seed1/132/web_http_error_seed_1/agent_response.json,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_fault_web_http_error_task132_seed1/132/web_http_error_seed_1/network.har,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_fault_web_http_error_task132_seed1/132/web_http_error_seed_1/official_eval.json
plan_execute,fault,web_http_error,132,2,False,failure,9.0,9.0,1512.7,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_fault_web_http_error_task132_seed2/132/web_http_error_seed_2/agent_response.json,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_fault_web_http_error_task132_seed2/132/web_http_error_seed_2/network.har,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_fault_web_http_error_task132_seed2/132/web_http_error_seed_2/official_eval.json
plan_execute,fault,web_http_error,132,3,False,failure,5.0,5.0,699.6,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_fault_web_http_error_task132_seed3/132/web_http_error_seed_3/agent_response.json,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_fault_web_http_error_task132_seed3/132/web_http_error_seed_3/network.har,experiments/architecture_gpt54_react_planexecute_v1/outputs/plan_execute_fault_web_http_error_task132_seed3/132/web_http_error_seed_3/official_eval.json
react,control,control,27,1,True,success,5.0,5.0,84.1,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_control_control_task27_seed1/27/control_seed_0/agent_response.json,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_control_control_task27_seed1/27/control_seed_0/network.har,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_control_control_task27_seed1/27/control_seed_0/official_eval.json
react,control,control,27,2,True,success,5.0,5.0,84.7,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_control_control_task27_seed2/27/control_seed_0/agent_response.json,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_control_control_task27_seed2/27/control_seed_0/network.har,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_control_control_task27_seed2/27/control_seed_0/official_eval.json
react,control,control,27,3,True,success,5.0,5.0,26.1,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_control_control_task27_seed3/27/control_seed_0/agent_response.json,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_control_control_task27_seed3/27/control_seed_0/network.har,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_control_control_task27_seed3/27/control_seed_0/official_eval.json
react,control,control,30,1,False,failure,5.0,5.0,106.8,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_control_control_task30_seed1/30/control_seed_0/agent_response.json,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_control_control_task30_seed1/30/control_seed_0/network.har,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_control_control_task30_seed1/30/control_seed_0/official_eval.json
react,control,control,30,2,False,failure,5.0,5.0,78.3,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_control_control_task30_seed2/30/control_seed_0/agent_response.json,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_control_control_task30_seed2/30/control_seed_0/network.har,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_control_control_task30_seed2/30/control_seed_0/official_eval.json
react,control,control,30,3,False,failure,5.0,5.0,31.2,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_control_control_task30_seed3/30/control_seed_0/agent_response.json,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_control_control_task30_seed3/30/control_seed_0/network.har,experiments/architecture_gpt54_react_planexecute_v1/outputs/react_control_control_task30_seed3/30/control_seed_0/official_eval.json
