architecture,condition,fault_type,task_id,seed,official_success,evaluator_status,evaluator_error,agent_response,network_har,official_eval,source,rerun,source_count,source_chain,model
plan_execute,control,control,27,1,False,failure,,experiments/rerun_missing_trials_v1/outputs/plan_execute_control_control_task27_seed1/27/control_seed_0/agent_response.json,experiments/rerun_missing_trials_v1/outputs/plan_execute_control_control_task27_seed1/27/control_seed_0/network.har,experiments/rerun_missing_trials_v1/outputs/plan_execute_control_control_task27_seed1/27/control_seed_0/official_eval.json,rerun_missing_trials_v1,True,2,/;rerun_missing_trials_v1,gpt54
plan_execute,control,control,27,2,False,failure,,experiments/rerun_missing_trials_v1/outputs/plan_execute_control_control_task27_seed2/27/control_seed_0/agent_response.json,experiments/rerun_missing_trials_v1/outputs/plan_execute_control_control_task27_seed2/27/control_seed_0/network.har,experiments/rerun_missing_trials_v1/outputs/plan_execute_control_control_task27_seed2/27/control_seed_0/official_eval.json,rerun_missing_trials_v1,True,1,rerun_missing_trials_v1,gpt54
plan_execute,control,control,27,3,False,failure,,experiments/rerun_missing_trials_v1/outputs/plan_execute_control_control_task27_seed3/27/control_seed_0/agent_response.json,experiments/rerun_missing_trials_v1/outputs/plan_execute_control_control_task27_seed3/27/control_seed_0/network.har,experiments/rerun_missing_trials_v1/outputs/plan_execute_control_control_task27_seed3/27/control_seed_0/official_eval.json,rerun_missing_trials_v1,True,1,rerun_missing_trials_v1,gpt54
plan_execute,control,control,27,4,True,success,,experiments/rerun_missing_trials_v1/outputs/plan_execute_control_control_task27_seed4/27/control_seed_0/agent_response.json,experiments/rerun_missing_trials_v1/outputs/plan_execute_control_control_task27_seed4/27/control_seed_0/network.har,experiments/rerun_missing_trials_v1/outputs/plan_execute_control_control_task27_seed4/27/control_seed_0/official_eval.json,rerun_missing_trials_v1,True,1,rerun_missing_trials_v1,gpt54
plan_execute,control,control,27,5,False,failure,,experiments/rerun_missing_trials_v1/outputs/plan_execute_control_control_task27_seed5/27/control_seed_0/agent_response.json,experiments/rerun_missing_trials_v1/outputs/plan_execute_control_control_task27_seed5/27/control_seed_0/network.har,experiments/rerun_missing_trials_v1/outputs/plan_execute_control_control_task27_seed5/27/control_seed_0/official_eval.json,rerun_missing_trials_v1,True,1,rerun_missing_trials_v1,gpt54
plan_execute,control,control,30,1,True,success,,experiments/rerun_missing_trials_v1/outputs/plan_execute_control_control_task30_seed1/30/control_seed_0/agent_response.json,experiments/rerun_missing_trials_v1/outputs/plan_execute_control_control_task30_seed1/30/control_seed_0/network.har,experiments/rerun_missing_trials_v1/outputs/plan_execute_control_control_task30_seed1/30/control_seed_0/official_eval.json,rerun_missing_trials_v1,True,1,rerun_missing_trials_v1,gpt54
plan_execute,control,control,30,2,False,failure,,experiments/rerun_missing_trials_v1/outputs/plan_execute_control_control_task30_seed2/30/control_seed_0/agent_response.json,experiments/rerun_missing_trials_v1/outputs/plan_execute_control_control_task30_seed2/30/control_seed_0/network.har,experiments/rerun_missing_trials_v1/outputs/plan_execute_control_control_task30_seed2/30/control_seed_0/official_eval.json,rerun_missing_trials_v1,True,1,rerun_missing_trials_v1,gpt54
plan_execute,control,control,30,3,True,success,,experiments/rerun_missing_trials_v1/outputs/plan_execute_control_control_task30_seed3/30/control_seed_0/agent_response.json,experiments/rerun_missing_trials_v1/outputs/plan_execute_control_control_task30_seed3/30/control_seed_0/network.har,experiments/rerun_missing_trials_v1/outputs/plan_execute_control_control_task30_seed3/30/control_seed_0/official_eval.json,rerun_missing_trials_v1,True,2,/;rerun_missing_trials_v1,gpt54
plan_execute,control,control,30,4,False,failure,,experiments/rerun_architecture_gaps_v1/outputs/plan_execute_control_control_task30_seed4/30/control_seed_0/agent_response.json,experiments/rerun_architecture_gaps_v1/outputs/plan_execute_control_control_task30_seed4/30/control_seed_0/network.har,experiments/rerun_architecture_gaps_v1/outputs/plan_execute_control_control_task30_seed4/30/control_seed_0/official_eval.json,rerun_missing_trials_v1,True,1,rerun_missing_trials_v1,gpt54
plan_execute,control,control,30,5,False,failure,,experiments/rerun_missing_trials_v1/outputs/plan_execute_control_control_task30_seed5/30/control_seed_0/agent_response.json,experiments/rerun_missing_trials_v1/outputs/plan_execute_control_control_task30_seed5/30/control_seed_0/network.har,experiments/rerun_missing_trials_v1/outputs/plan_execute_control_control_task30_seed5/30/control_seed_0/official_eval.json,rerun_missing_trials_v1,True,1,rerun_missing_trials_v1,gpt54
