fault_type,task_id,seed,condition,official_success,evaluator_status,evaluator_error,evaluation_source,fault_injection_count,fault_triggered,audit_passed,audit_errors,agent_response,network_har,official_eval,source
agent_param_error,22,1,control,False,failure,,fallback,0,,True,,experiments/formal_gpt54_react_faults_official_subset_v1_extend/outputs/agent_param_error_task22_seed1/22/control_seed_0/agent_response.json,experiments/formal_gpt54_react_faults_official_subset_v1_extend/outputs/agent_param_error_task22_seed1/22/control_seed_0/network.har,experiments/formal_gpt54_react_faults_official_subset_v1_extend/outputs/agent_param_error_task22_seed1/22/control_seed_0/official_eval.json,experiments/formal_gpt54_react_faults_official_subset_v1_extend/outputs
agent_param_error,22,1,fault,False,failure,,fallback,1,True,True,,experiments/formal_gpt54_react_faults_official_subset_v1_extend/outputs/agent_param_error_task22_seed1/22/agent_param_error_seed_1/agent_response.json,experiments/formal_gpt54_react_faults_official_subset_v1_extend/outputs/agent_param_error_task22_seed1/22/agent_param_error_seed_1/network.har,experiments/formal_gpt54_react_faults_official_subset_v1_extend/outputs/agent_param_error_task22_seed1/22/agent_param_error_seed_1/official_eval.json,experiments/formal_gpt54_react_faults_official_subset_v1_extend/outputs
agent_param_error,22,2,control,False,failure,,fallback,0,,True,,experiments/formal_gpt54_react_faults_official_subset_v1_extend/outputs/agent_param_error_task22_seed2/22/control_seed_0/agent_response.json,experiments/formal_gpt54_react_faults_official_subset_v1_extend/outputs/agent_param_error_task22_seed2/22/control_seed_0/network.har,experiments/formal_gpt54_react_faults_official_subset_v1_extend/outputs/agent_param_error_task22_seed2/22/control_seed_0/official_eval.json,experiments/formal_gpt54_react_faults_official_subset_v1_extend/outputs
agent_param_error,22,2,fault,False,failure,,fallback,1,True,True,,experiments/formal_gpt54_react_faults_official_subset_v1_extend/outputs/agent_param_error_task22_seed2/22/agent_param_error_seed_2/agent_response.json,experiments/formal_gpt54_react_faults_official_subset_v1_extend/outputs/agent_param_error_task22_seed2/22/agent_param_error_seed_2/network.har,experiments/formal_gpt54_react_faults_official_subset_v1_extend/outputs/agent_param_error_task22_seed2/22/agent_param_error_seed_2/official_eval.json,experiments/formal_gpt54_react_faults_official_subset_v1_extend/outputs
agent_param_error,22,3,control,False,failure,,fallback,0,,True,,experiments/formal_gpt54_react_faults_official_subset_v1_extend/outputs/agent_param_error_task22_seed3/22/control_seed_0/agent_response.json,experiments/formal_gpt54_react_faults_official_subset_v1_extend/outputs/agent_param_error_task22_seed3/22/control_seed_0/network.har,experiments/formal_gpt54_react_faults_official_subset_v1_extend/outputs/agent_param_error_task22_seed3/22/control_seed_0/official_eval.json,experiments/formal_gpt54_react_faults_official_subset_v1_extend/outputs
agent_param_error,22,3,fault,False,failure,,fallback,1,True,True,,experiments/formal_gpt54_react_faults_official_subset_v1_extend/outputs/agent_param_error_task22_seed3/22/agent_param_error_seed_3/agent_response.json,experiments/formal_gpt54_react_faults_official_subset_v1_extend/outputs/agent_param_error_task22_seed3/22/agent_param_error_seed_3/network.har,experiments/formal_gpt54_react_faults_official_subset_v1_extend/outputs/agent_param_error_task22_seed3/22/agent_param_error_seed_3/official_eval.json,experiments/formal_gpt54_react_faults_official_subset_v1_extend/outputs
agent_param_error,22,4,control,False,failure,,fallback,0,,True,,experiments/formal_gpt54_react_faults_official_subset_v1_extend/outputs/agent_param_error_task22_seed4/22/control_seed_0/agent_response.json,experiments/formal_gpt54_react_faults_official_subset_v1_extend/outputs/agent_param_error_task22_seed4/22/control_seed_0/network.har,experiments/formal_gpt54_react_faults_official_subset_v1_extend/outputs/agent_param_error_task22_seed4/22/control_seed_0/official_eval.json,experiments/formal_gpt54_react_faults_official_subset_v1_extend/outputs
agent_param_error,22,4,fault,False,failure,,fallback,1,True,True,,experiments/formal_gpt54_react_faults_official_subset_v1_extend/outputs/agent_param_error_task22_seed4/22/agent_param_error_seed_4/agent_response.json,experiments/formal_gpt54_react_faults_official_subset_v1_extend/outputs/agent_param_error_task22_seed4/22/agent_param_error_seed_4/network.har,experiments/formal_gpt54_react_faults_official_subset_v1_extend/outputs/agent_param_error_task22_seed4/22/agent_param_error_seed_4/official_eval.json,experiments/formal_gpt54_react_faults_official_subset_v1_extend/outputs
agent_param_error,22,5,control,False,failure,,fallback,0,,True,,experiments/formal_gpt54_react_faults_official_subset_v1_extend/outputs/agent_param_error_task22_seed5/22/control_seed_0/agent_response.json,experiments/formal_gpt54_react_faults_official_subset_v1_extend/outputs/agent_param_error_task22_seed5/22/control_seed_0/network.har,experiments/formal_gpt54_react_faults_official_subset_v1_extend/outputs/agent_param_error_task22_seed5/22/control_seed_0/official_eval.json,experiments/formal_gpt54_react_faults_official_subset_v1_extend/outputs
agent_param_error,22,5,fault,False,failure,,fallback,1,True,True,,experiments/formal_gpt54_react_faults_official_subset_v1_extend/outputs/agent_param_error_task22_seed5/22/agent_param_error_seed_5/agent_response.json,experiments/formal_gpt54_react_faults_official_subset_v1_extend/outputs/agent_param_error_task22_seed5/22/agent_param_error_seed_5/network.har,experiments/formal_gpt54_react_faults_official_subset_v1_extend/outputs/agent_param_error_task22_seed5/22/agent_param_error_seed_5/official_eval.json,experiments/formal_gpt54_react_faults_official_subset_v1_extend/outputs
agent_param_error,24,1,control,False,failure,,fallback,0,,True,,experiments/formal_gpt54_react_faults_official_subset_v1_extend/outputs/agent_param_error_task24_seed1/24/control_seed_0/agent_response.json,experiments/formal_gpt54_react_faults_official_subset_v1_extend/outputs/agent_param_error_task24_seed1/24/control_seed_0/network.har,experiments/formal_gpt54_react_faults_official_subset_v1_extend/outputs/agent_param_error_task24_seed1/24/control_seed_0/official_eval.json,experiments/formal_gpt54_react_faults_official_subset_v1_extend/outputs
agent_param_error,24,1,fault,False,failure,,fallback,1,True,True,,experiments/formal_gpt54_react_faults_official_subset_v1_extend/outputs/agent_param_error_task24_seed1/24/agent_param_error_seed_1/agent_response.json,experiments/formal_gpt54_react_faults_official_subset_v1_extend/outputs/agent_param_error_task24_seed1/24/agent_param_error_seed_1/network.har,experiments/formal_gpt54_react_faults_official_subset_v1_extend/outputs/agent_param_error_task24_seed1/24/agent_param_error_seed_1/official_eval.json,experiments/formal_gpt54_react_faults_official_subset_v1_extend/outputs
agent_param_error,24,2,control,True,success,,native,0,,True,,experiments/formal_gpt54_react_faults_official_subset_v1_extend/outputs/agent_param_error_task24_seed2/24/control_seed_0/agent_response.json,experiments/formal_gpt54_react_faults_official_subset_v1_extend/outputs/agent_param_error_task24_seed2/24/control_seed_0/network.har,experiments/formal_gpt54_react_faults_official_subset_v1_extend/outputs/agent_param_error_task24_seed2/24/control_seed_0/official_eval.json,experiments/formal_gpt54_react_faults_official_subset_v1_extend/outputs
agent_param_error,24,2,fault,True,success,,native,1,True,True,,experiments/formal_gpt54_react_faults_official_subset_v1_extend/outputs/agent_param_error_task24_seed2/24/agent_param_error_seed_2/agent_response.json,experiments/formal_gpt54_react_faults_official_subset_v1_extend/outputs/agent_param_error_task24_seed2/24/agent_param_error_seed_2/network.har,experiments/formal_gpt54_react_faults_official_subset_v1_extend/outputs/agent_param_error_task24_seed2/24/agent_param_error_seed_2/official_eval.json,experiments/formal_gpt54_react_faults_official_subset_v1_extend/outputs
agent_param_error,24,3,control,True,success,,native,0,,True,,experiments/formal_gpt54_react_faults_official_subset_v1_extend/outputs/agent_param_error_task24_seed3/24/control_seed_0/agent_response.json,experiments/formal_gpt54_react_faults_official_subset_v1_extend/outputs/agent_param_error_task24_seed3/24/control_seed_0/network.har,experiments/formal_gpt54_react_faults_official_subset_v1_extend/outputs/agent_param_error_task24_seed3/24/control_seed_0/official_eval.json,experiments/formal_gpt54_react_faults_official_subset_v1_extend/outputs
