architecture,condition,fault_type,task_id,seed,official_success,evaluator_status,evaluator_error,agent_response,network_har,official_eval,source,rerun,source_count,source_chain
plan_execute,control,control,22,1,False,failure,,experiments/rerun_missing_trials_v1/outputs/plan_execute_control_control_task22_seed1/22/control_seed_0/agent_response.json,experiments/rerun_missing_trials_v1/outputs/plan_execute_control_control_task22_seed1/22/control_seed_0/network.har,experiments/rerun_missing_trials_v1/outputs/plan_execute_control_control_task22_seed1/22/control_seed_0/official_eval.json,rerun_missing_trials_v1,True,1,rerun_missing_trials_v1
plan_execute,control,control,22,2,False,failure,,experiments/rerun_missing_trials_v1/outputs/plan_execute_control_control_task22_seed2/22/control_seed_0/agent_response.json,experiments/rerun_missing_trials_v1/outputs/plan_execute_control_control_task22_seed2/22/control_seed_0/network.har,experiments/rerun_missing_trials_v1/outputs/plan_execute_control_control_task22_seed2/22/control_seed_0/official_eval.json,rerun_missing_trials_v1,True,1,rerun_missing_trials_v1
plan_execute,control,control,22,3,False,failure,,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_core240_v1/plan_execute_control_control_task22_seed3/22/control_seed_3/agent_response.json,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_core240_v1/plan_execute_control_control_task22_seed3/22/control_seed_3/network.har,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_core240_v1/plan_execute_control_control_task22_seed3/22/control_seed_3/official_eval.json,/,False,1,/
plan_execute,control,control,22,4,False,failure,,experiments/rerun_missing_trials_v1/outputs/plan_execute_control_control_task22_seed4/22/control_seed_0/agent_response.json,experiments/rerun_missing_trials_v1/outputs/plan_execute_control_control_task22_seed4/22/control_seed_0/network.har,experiments/rerun_missing_trials_v1/outputs/plan_execute_control_control_task22_seed4/22/control_seed_0/official_eval.json,rerun_missing_trials_v1,True,1,rerun_missing_trials_v1
plan_execute,control,control,22,5,True,success,,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_core240_v1/plan_execute_control_control_task22_seed5/22/control_seed_5/agent_response.json,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_core240_v1/plan_execute_control_control_task22_seed5/22/control_seed_5/network.har,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_core240_v1/plan_execute_control_control_task22_seed5/22/control_seed_5/official_eval.json,/,False,1,/
plan_execute,control,control,24,1,True,success,,experiments/rerun_missing_trials_v1/outputs/plan_execute_control_control_task24_seed1/24/control_seed_0/agent_response.json,experiments/rerun_missing_trials_v1/outputs/plan_execute_control_control_task24_seed1/24/control_seed_0/network.har,experiments/rerun_missing_trials_v1/outputs/plan_execute_control_control_task24_seed1/24/control_seed_0/official_eval.json,rerun_missing_trials_v1,True,1,rerun_missing_trials_v1
plan_execute,control,control,24,2,True,success,,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_core240_v1/plan_execute_control_control_task24_seed2/24/control_seed_2/agent_response.json,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_core240_v1/plan_execute_control_control_task24_seed2/24/control_seed_2/network.har,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_core240_v1/plan_execute_control_control_task24_seed2/24/control_seed_2/official_eval.json,/,False,1,/
plan_execute,control,control,24,3,True,success,,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_core240_v1/plan_execute_control_control_task24_seed3/24/control_seed_3/agent_response.json,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_core240_v1/plan_execute_control_control_task24_seed3/24/control_seed_3/network.har,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_core240_v1/plan_execute_control_control_task24_seed3/24/control_seed_3/official_eval.json,/,False,1,/
plan_execute,control,control,24,4,True,success,,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_core240_v1/plan_execute_control_control_task24_seed4/24/control_seed_4/agent_response.json,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_core240_v1/plan_execute_control_control_task24_seed4/24/control_seed_4/network.har,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_core240_v1/plan_execute_control_control_task24_seed4/24/control_seed_4/official_eval.json,/,False,1,/
plan_execute,control,control,24,5,True,success,,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_core240_v1/plan_execute_control_control_task24_seed5/24/control_seed_5/agent_response.json,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_core240_v1/plan_execute_control_control_task24_seed5/24/control_seed_5/network.har,experiments/analysis/rebuilt_official_responses_v1/architecture_gpt54_react_planexecute_core240_v1/plan_execute_control_control_task24_seed5/24/control_seed_5/official_eval.json,/,False,1,/
