dataset_layer,fault_type,condition,task_id,seed,trial_id,official_success,official_score,evaluator_status,completed,steps,llm_calls,time_sec,source
baseline_official,control,control,21,1,1,False,0,failure,True,3,3,76.37,experiments/curated/gpt54_react_public16_control_v1.json
baseline_official,control,control,21,2,2,False,0,failure,True,2,2,46.53,experiments/curated/gpt54_react_public16_control_v1.json
baseline_official,control,control,21,3,3,False,0,failure,True,3,3,72.83,experiments/curated/gpt54_react_public16_control_v1.json
baseline_official,control,control,22,1,1,True,1,success,True,7,7,131.62,experiments/curated/gpt54_react_public16_control_v1.json
baseline_official,control,control,22,2,2,False,0,failure,True,6,6,128.26,experiments/curated/gpt54_react_public16_control_v1.json
baseline_official,control,control,22,3,3,False,0,failure,True,5,5,59.35,experiments/curated/gpt54_react_public16_control_v1.json
baseline_official,control,control,23,1,1,False,0,failure,True,4,4,413.65,experiments/curated/gpt54_react_public16_control_v1.json
baseline_official,control,control,23,2,2,False,0,failure,True,3,3,204.77,experiments/curated/gpt54_react_public16_control_v1.json
baseline_official,control,control,23,3,3,False,0,failure,True,3,3,19.3,experiments/curated/gpt54_react_public16_control_v1.json
baseline_official,control,control,24,1,1,True,1,success,True,4,4,123.72,experiments/curated/gpt54_react_public16_control_v1.json
baseline_official,control,control,24,2,2,True,1,success,True,3,3,36.4,experiments/curated/gpt54_react_public16_control_v1.json
baseline_official,control,control,24,3,3,True,1,success,True,2,2,22.9,experiments/curated/gpt54_react_public16_control_v1.json
baseline_official,control,control,25,1,1,False,0,failure,True,12,12,407.91,experiments/curated/gpt54_react_public16_control_v1.json
baseline_official,control,control,25,2,2,False,0,failure,True,13,13,309.16,experiments/curated/gpt54_react_public16_control_v1.json
baseline_official,control,control,25,3,3,False,0,failure,True,12,12,301.09,experiments/curated/gpt54_react_public16_control_v1.json
baseline_official,control,control,26,1,1,False,0,failure,True,6,6,124.75,experiments/curated/gpt54_react_public16_control_v1.json
baseline_official,control,control,26,2,2,False,0,failure,False,20,20,575.82,experiments/curated/gpt54_react_public16_control_v1.json
baseline_official,control,control,26,3,3,False,0,failure,True,5,5,56.4,experiments/curated/gpt54_react_public16_control_v1.json
