fault_type,task_id,run_seed,trial_id,condition,model_profile,model_name,architecture,temperature,max_steps,fault_layer,completed,task_error,infrastructure_error,injection_count,steps,llm_calls,time_sec,answer,official_success,official_score,evaluator_status,evaluator_error,fallback_used,source_log,status_path,response_path
agent_param_error,21,1,1,control,gpt54,gpt-5.4,react,0.2,20,control,True,False,False,0,5.0,5.0,110.2,"The reviewers who mention the ear cups/fit being small are Michelle Davis, Catso, and Dibbins.",,,,,,experiments/formal_gpt54_react_agent_param_error_6workers_20260825_foreground/task21_seed1.log,experiments/formal_gpt54_react_agent_param_error_6workers_20260825_foreground/task21_seed1.status.json,
agent_param_error,21,1,1,fault,gpt54,gpt-5.4,react,0.2,20,action,True,False,False,1,4.0,4.0,41.0,"The reviewers who mention the ear cups/fit being small are Michelle Davis, Catso, and Dibbins.",,,,,,experiments/formal_gpt54_react_agent_param_error_6workers_20260825_foreground/task21_seed1.log,experiments/formal_gpt54_react_agent_param_error_6workers_20260825_foreground/task21_seed1.status.json,
agent_param_error,21,2,2,control,gpt54,gpt-5.4,react,0.2,20,control,True,False,False,0,3.0,3.0,68.5,"The reviewers who mention the ear cups/fit being small are **Catso**, **Dibbins**, and **Michelle Davis**.",,,,,,experiments/formal_gpt54_react_agent_param_error_6workers_20260825_foreground/task21_seed2.log,experiments/formal_gpt54_react_agent_param_error_6workers_20260825_foreground/task21_seed2.status.json,
agent_param_error,21,2,2,fault,gpt54,gpt-5.4,react,0.2,20,action,True,False,False,1,4.0,4.0,69.5,"The reviewers who mention the ear cups/fit being small are **Catso**, **Dibbins**, and **Michelle Davis**.",,,,,,experiments/formal_gpt54_react_agent_param_error_6workers_20260825_foreground/task21_seed2.log,experiments/formal_gpt54_react_agent_param_error_6workers_20260825_foreground/task21_seed2.status.json,
agent_param_error,21,3,3,control,gpt54,gpt-5.4,react,0.2,20,control,True,False,False,0,3.0,3.0,48.1,Dibbins and Michelle Davis.,,,,,,experiments/formal_gpt54_react_agent_param_error_6workers_20260825_foreground/task21_seed3.log,experiments/formal_gpt54_react_agent_param_error_6workers_20260825_foreground/task21_seed3.status.json,
agent_param_error,21,3,3,fault,gpt54,gpt-5.4,react,0.2,20,action,True,False,False,1,5.0,5.0,83.8,Dibbins and Michelle Davis.,,,,,,experiments/formal_gpt54_react_agent_param_error_6workers_20260825_foreground/task21_seed3.log,experiments/formal_gpt54_react_agent_param_error_6workers_20260825_foreground/task21_seed3.status.json,
agent_param_error,21,4,4,control,gpt54,gpt-5.4,react,0.2,20,control,True,False,False,0,4.0,4.0,76.8,"The reviewers who mention the ear cups/headphones being small are: Michelle Davis, Catso, and Dibbins.",,,,,,experiments/formal_gpt54_react_agent_param_error_6workers_20260825_foreground/task21_seed4.log,experiments/formal_gpt54_react_agent_param_error_6workers_20260825_foreground/task21_seed4.status.json,
agent_param_error,21,4,4,fault,gpt54,gpt-5.4,react,0.2,20,action,True,False,False,1,5.0,5.0,90.3,"The reviewers who mention the ear cups/headphones being small are: Michelle Davis, Catso, and Dibbins.",,,,,,experiments/formal_gpt54_react_agent_param_error_6workers_20260825_foreground/task21_seed4.log,experiments/formal_gpt54_react_agent_param_error_6workers_20260825_foreground/task21_seed4.status.json,
agent_param_error,21,5,5,control,gpt54,gpt-5.4,react,0.2,20,control,True,False,False,0,4.0,4.0,87.0,"The reviewers are Michelle Davis, Catso, and Dibbins.",,,,,,experiments/formal_gpt54_react_agent_param_error_6workers_20260825_foreground/task21_seed5.log,experiments/formal_gpt54_react_agent_param_error_6workers_20260825_foreground/task21_seed5.status.json,
agent_param_error,21,5,5,fault,gpt54,gpt-5.4,react,0.2,20,action,True,False,False,1,5.0,5.0,59.1,"The reviewers are Michelle Davis, Catso, and Dibbins.",,,,,,experiments/formal_gpt54_react_agent_param_error_6workers_20260825_foreground/task21_seed5.log,experiments/formal_gpt54_react_agent_param_error_6workers_20260825_foreground/task21_seed5.status.json,
agent_param_error,22,1,1,control,gpt54,gpt-5.4,react,0.2,20,control,True,False,False,0,16.0,16.0,381.0,The reviewer is **romance lover** (displayed on the page as “romance loverromance lover”).,,,,,,experiments/formal_gpt54_react_agent_param_error_6workers_20260825_foreground/task22_seed1.log,experiments/formal_gpt54_react_agent_param_error_6workers_20260825_foreground/task22_seed1.status.json,
agent_param_error,22,1,1,fault,gpt54,gpt-5.4,react,0.2,20,action,True,False,False,1,9.0,9.0,114.4,The reviewer is **romance lover** (displayed on the page as “romance loverromance lover”).,,,,,,experiments/formal_gpt54_react_agent_param_error_6workers_20260825_foreground/task22_seed1.log,experiments/formal_gpt54_react_agent_param_error_6workers_20260825_foreground/task22_seed1.status.json,
agent_param_error,22,2,2,control,gpt54,gpt-5.4,react,0.2,20,control,True,False,False,0,12.0,12.0,211.1,AZ Guy,,,,,,experiments/formal_gpt54_react_agent_param_error_6workers_20260825_foreground/task22_seed2.log,experiments/formal_gpt54_react_agent_param_error_6workers_20260825_foreground/task22_seed2.status.json,
agent_param_error,22,2,2,fault,gpt54,gpt-5.4,react,0.2,20,action,True,False,False,1,8.0,8.0,152.6,AZ Guy,,,,,,experiments/formal_gpt54_react_agent_param_error_6workers_20260825_foreground/task22_seed2.log,experiments/formal_gpt54_react_agent_param_error_6workers_20260825_foreground/task22_seed2.status.json,
agent_param_error,22,3,3,control,gpt54,gpt-5.4,react,0.2,20,control,True,False,False,0,12.0,12.0,338.6,"No reviewer names found. The OERJU product currently has no customer reviews (“Be the first to review this product”), so no reviewer mentions an underwater photo.",,,,,,experiments/formal_gpt54_react_agent_param_error_6workers_20260825_foreground/task22_seed3.log,experiments/formal_gpt54_react_agent_param_error_6workers_20260825_foreground/task22_seed3.status.json,
agent_param_error,22,3,3,fault,gpt54,gpt-5.4,react,0.2,20,action,True,False,False,1,13.0,13.0,131.1,"No reviewer names found. The OERJU product currently has no customer reviews (“Be the first to review this product”), so no reviewer mentions an underwater photo.",,,,,,experiments/formal_gpt54_react_agent_param_error_6workers_20260825_foreground/task22_seed3.log,experiments/formal_gpt54_react_agent_param_error_6workers_20260825_foreground/task22_seed3.status.json,
agent_param_error,22,4,4,control,gpt54,gpt-5.4,react,0.2,20,control,True,False,False,0,15.0,15.0,324.0,AZ Guy,,,,,,experiments/formal_gpt54_react_agent_param_error_6workers_20260825_foreground/task22_seed4.log,experiments/formal_gpt54_react_agent_param_error_6workers_20260825_foreground/task22_seed4.status.json,
agent_param_error,22,4,4,fault,gpt54,gpt-5.4,react,0.2,20,action,True,False,False,1,5.0,5.0,64.8,AZ Guy,,,,,,experiments/formal_gpt54_react_agent_param_error_6workers_20260825_foreground/task22_seed4.log,experiments/formal_gpt54_react_agent_param_error_6workers_20260825_foreground/task22_seed4.status.json,
agent_param_error,22,5,5,control,gpt54,gpt-5.4,react,0.2,20,control,True,False,False,0,17.0,17.0,375.5,AZ Guy,,,,,,experiments/formal_gpt54_react_agent_param_error_6workers_20260825_foreground/task22_seed5.log,experiments/formal_gpt54_react_agent_param_error_6workers_20260825_foreground/task22_seed5.status.json,
agent_param_error,22,5,5,fault,gpt54,gpt-5.4,react,0.2,20,action,True,False,False,1,12.0,12.0,296.2,AZ Guy,,,,,,experiments/formal_gpt54_react_agent_param_error_6workers_20260825_foreground/task22_seed5.log,experiments/formal_gpt54_react_agent_param_error_6workers_20260825_foreground/task22_seed5.status.json,
agent_param_error,23,1,1,control,gpt54,gpt-5.4,react,0.2,20,control,True,False,False,0,2.0,2.0,54.1,Rachel,,,,,,experiments/formal_gpt54_react_agent_param_error_6workers_20260825_foreground/task23_seed1.log,experiments/formal_gpt54_react_agent_param_error_6workers_20260825_foreground/task23_seed1.status.json,
agent_param_error,23,1,1,fault,gpt54,gpt-5.4,react,0.2,20,action,True,False,False,1,4.0,4.0,94.5,Rachel,,,,,,experiments/formal_gpt54_react_agent_param_error_6workers_20260825_foreground/task23_seed1.log,experiments/formal_gpt54_react_agent_param_error_6workers_20260825_foreground/task23_seed1.status.json,
agent_param_error,23,2,2,control,gpt54,gpt-5.4,react,0.2,20,control,True,False,False,0,3.0,3.0,59.8,Rachel,,,,,,experiments/formal_gpt54_react_agent_param_error_6workers_20260825_foreground/task23_seed2.log,experiments/formal_gpt54_react_agent_param_error_6workers_20260825_foreground/task23_seed2.status.json,
agent_param_error,23,2,2,fault,gpt54,gpt-5.4,react,0.2,20,action,True,False,False,1,3.0,3.0,34.0,Rachel,,,,,,experiments/formal_gpt54_react_agent_param_error_6workers_20260825_foreground/task23_seed2.log,experiments/formal_gpt54_react_agent_param_error_6workers_20260825_foreground/task23_seed2.status.json,
agent_param_error,23,3,3,control,gpt54,gpt-5.4,react,0.2,20,control,True,False,False,0,2.0,2.0,121.5,Rachel,,,,,,experiments/formal_gpt54_react_agent_param_error_6workers_20260825_foreground/task23_seed3.log,experiments/formal_gpt54_react_agent_param_error_6workers_20260825_foreground/task23_seed3.status.json,
agent_param_error,23,3,3,fault,gpt54,gpt-5.4,react,0.2,20,action,True,False,False,1,4.0,4.0,86.9,Rachel,,,,,,experiments/formal_gpt54_react_agent_param_error_6workers_20260825_foreground/task23_seed3.log,experiments/formal_gpt54_react_agent_param_error_6workers_20260825_foreground/task23_seed3.status.json,
agent_param_error,23,4,4,control,gpt54,gpt-5.4,react,0.2,20,control,True,False,False,0,2.0,2.0,18.8,Rachel,,,,,,experiments/formal_gpt54_react_agent_param_error_6workers_20260825_foreground/task23_seed4.log,experiments/formal_gpt54_react_agent_param_error_6workers_20260825_foreground/task23_seed4.status.json,
agent_param_error,23,4,4,fault,gpt54,gpt-5.4,react,0.2,20,action,True,False,False,1,4.0,4.0,107.2,Rachel,,,,,,experiments/formal_gpt54_react_agent_param_error_6workers_20260825_foreground/task23_seed4.log,experiments/formal_gpt54_react_agent_param_error_6workers_20260825_foreground/task23_seed4.status.json,
agent_param_error,23,5,5,control,gpt54,gpt-5.4,react,0.2,20,control,True,False,False,0,3.0,3.0,44.3,Rachel,,,,,,experiments/formal_gpt54_react_agent_param_error_6workers_20260825_foreground/task23_seed5.log,experiments/formal_gpt54_react_agent_param_error_6workers_20260825_foreground/task23_seed5.status.json,
