model,fault_type,task_id,seed,condition,official_success,evaluator_status,evaluator_error,agent_response,network_har,official_eval,source
gpt54,web_dom_missing,27,1,control,True,success,,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_dom_missing_task27_seed1/27/control_seed_0/agent_response.json,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_dom_missing_task27_seed1/27/control_seed_0/network.har,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_dom_missing_task27_seed1/27/control_seed_0/official_eval.json,experiments/formal_gpt54_react_faults_official_subset_v1/outputs
deepseek_v4_pro,web_dom_missing,27,1,control,True,success,,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_dom_missing_task27_seed1/27/control_seed_0/agent_response.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_dom_missing_task27_seed1/27/control_seed_0/network.har,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_dom_missing_task27_seed1/27/control_seed_0/official_eval.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs
gpt54,web_dom_missing,27,1,fault,True,success,,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_dom_missing_task27_seed1/27/web_dom_missing_seed_1/agent_response.json,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_dom_missing_task27_seed1/27/web_dom_missing_seed_1/network.har,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_dom_missing_task27_seed1/27/web_dom_missing_seed_1/official_eval.json,experiments/formal_gpt54_react_faults_official_subset_v1/outputs
deepseek_v4_pro,web_dom_missing,27,1,fault,True,success,,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_dom_missing_task27_seed1/27/web_dom_missing_seed_1/agent_response.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_dom_missing_task27_seed1/27/web_dom_missing_seed_1/network.har,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_dom_missing_task27_seed1/27/web_dom_missing_seed_1/official_eval.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs
gpt54,web_dom_missing,27,2,control,True,success,,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_dom_missing_task27_seed2/27/control_seed_0/agent_response.json,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_dom_missing_task27_seed2/27/control_seed_0/network.har,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_dom_missing_task27_seed2/27/control_seed_0/official_eval.json,experiments/formal_gpt54_react_faults_official_subset_v1/outputs
deepseek_v4_pro,web_dom_missing,27,2,control,True,success,,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_dom_missing_task27_seed2/27/control_seed_0/agent_response.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_dom_missing_task27_seed2/27/control_seed_0/network.har,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_dom_missing_task27_seed2/27/control_seed_0/official_eval.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs
gpt54,web_dom_missing,27,2,fault,True,success,,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_dom_missing_task27_seed2/27/web_dom_missing_seed_2/agent_response.json,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_dom_missing_task27_seed2/27/web_dom_missing_seed_2/network.har,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_dom_missing_task27_seed2/27/web_dom_missing_seed_2/official_eval.json,experiments/formal_gpt54_react_faults_official_subset_v1/outputs
deepseek_v4_pro,web_dom_missing,27,2,fault,True,success,,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_dom_missing_task27_seed2/27/web_dom_missing_seed_2/agent_response.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_dom_missing_task27_seed2/27/web_dom_missing_seed_2/network.har,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_dom_missing_task27_seed2/27/web_dom_missing_seed_2/official_eval.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs
gpt54,web_dom_missing,27,3,control,True,success,,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_dom_missing_task27_seed3/27/control_seed_0/agent_response.json,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_dom_missing_task27_seed3/27/control_seed_0/network.har,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_dom_missing_task27_seed3/27/control_seed_0/official_eval.json,experiments/formal_gpt54_react_faults_official_subset_v1/outputs
deepseek_v4_pro,web_dom_missing,27,3,control,True,success,,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_dom_missing_task27_seed3/27/control_seed_0/agent_response.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_dom_missing_task27_seed3/27/control_seed_0/network.har,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_dom_missing_task27_seed3/27/control_seed_0/official_eval.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs
gpt54,web_dom_missing,27,3,fault,True,success,,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_dom_missing_task27_seed3/27/web_dom_missing_seed_3/agent_response.json,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_dom_missing_task27_seed3/27/web_dom_missing_seed_3/network.har,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_dom_missing_task27_seed3/27/web_dom_missing_seed_3/official_eval.json,experiments/formal_gpt54_react_faults_official_subset_v1/outputs
deepseek_v4_pro,web_dom_missing,27,3,fault,True,success,,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_dom_missing_task27_seed3/27/web_dom_missing_seed_3/agent_response.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_dom_missing_task27_seed3/27/web_dom_missing_seed_3/network.har,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs/web_dom_missing_task27_seed3/27/web_dom_missing_seed_3/official_eval.json,experiments/formal_deepseek_v4_pro_react_core45_v1/outputs
